Title,Category,Genre,Description,Poster_URL
Darpan,Bollywood,Drama,"A Teacher from Siddharth College, Balraj Dutt (Sunil Dutt) from a well-known, wealthy, and reputed family falls in love with a former prostitute, Madhvi (Waheeda Rehman) and despite of opposition from his family, marries her, complications arise. The elder brother (Rehman), now married, recognizes Madhvi, as he had spent romantic nights with her. Then arrives Vinod (Ramesh Deo), a family friend, from the United States of America, with full approval for the marriage until he actually meets and then he too recognizes Madhvi, as he had spent some romantic nights with her. How will Madhvi continue to live her married life with the mirror reflecting her past?",/static/images/placeholder.jpg
Naatak,Bollywood,Drama,"Film starring Shyam Kumar, Suraiya and Amar",/static/images/319772.jpg
Awaaz,Bollywood,Drama,"Advocate Jayant defends his clients and gets them off the hook, even if they are guilty. However, when his wife is raped by the son of a gangster he has been defending, he vows to take revenge.",/static/images/447165.jpg
Mukti,Bollywood,Drama,"Kailash Sharma is found guilty of sexually molesting Shanno and killing Dheeraj Kumar Verma, and sentenced to be hanged by the Jammu & Kashmir Sessions Court. After his appeals at both High and Supreme Courts fail, he asks his wife, Seema, to take their daughter, Pinky, and re-locate elsewhere. Seema and Pinky re-locate to Bombay where she takes up sewing to make a living. She befriends their neighbor, Ratan, and both get married. 14 years later Pinky has grown up and has a boyfriend, Vikram, who she wants to marry. Meanwhile, Kailash, who is still alive as his sentence was changed to life imprisonment, arrives in Bombay to look for his family. After sometime he does find them but decides not to interfere in their lives as they appear to be happy. But when Seema finds out she goes to meet him secretly - a visit that will set off a chain of events that will end up drastically changing their lives forever.",/static/images/307483.jpg
Crazxy,Bollywood,Thriller,"A renowned surgeon, Abhimanyu Sood is carrying ₹5 crores for a hush hush settlement that will save him from going to jail, when he gets a chilling phone call—his 16-year-old daughter, Vedica, has been kidnapped. The ransom? The exact amount he is carrying right now. Is this even a real kidnapping—or an elaborate trap?",/static/images/1370264.jpg
Majaal,Bollywood,Romance,Vijay Kumar (Jeetendra) is an orphan brought up by an Advocate Chaudhary Kailash Nath (Kader Khan) and becomes a lawyer himself. He is in love with Sadhana (Sridevi) Kailash Nath's daughter and both get married. Vijay wants to stand on his own feet but is discouraged by his wife and father in law. He is humiliated on many occasions. One day suddenly Sandhya (Jaya Prada) enters their life and Vijay is willing to walk out of the marriage to support Sandhya. Who is this Sandhya and why is Vijay drawn to her?. What will happen to Vijay and Sadhana's married life?,/static/images/391728.jpg
Taqdeer,Bollywood,"Adventure, Drama","When industrialist Deewan Saheb entrusts his son Randhir with the secret location to the family treasure, excluding his son Ranveer, he inadvertently creates a deadly rivalry resulting in conspiracy, betrayal and murder. Written and directed by the filmmaker Brij, this thriller explores the depths of jealousy and greed and how they can tear a family apart. Shatrughan Sinha, Hema Malini, Zeenat Aman and Mithun Chakraborty star.",/static/images/321936.jpg
Bidaai,Bollywood,"Drama, Romance","After his business partner embezzles money and leaves him penniless, Parvati's husband passes away, leaving behind two sons, Prabhakar and Sudhakar, & a dumb daughter, Gauri, virtually on the verge of destitution, When Prabhakar grows up, he marries Pooja and moves out. Years pass by, Sudhakar has grown up, has managed to complete schooling, gets a job out of town and re-locates.",/static/images/307871.jpg
Naukri,Bollywood,"Drama, Fantasy","A disabled man who can't support his family contemplates committing suicide. However, a mysterious figure appears who forces him to reflect on his life.",/static/images/552097.jpg
Haadsaa,Bollywood,"Action, Thriller, Drama","Asha lives in poverty with her alcoholic father in Bombay, before being sold to an impotent husband.  A series of events leads her to love.",/static/images/303387.jpg
Aandhiyan,Bollywood,Romance,Shakuntala (Mumtaz) is an estranged wife from Dushyant (Shatrughan Sinha) who wanted refused to admit that she is his wife because his political career would be hindered. His father (Om Shivpuri) never approved her because of her poverty and therefore decided to split them apart by blaming Dushyant for marrying her and because of that it would hinder his career.,/static/images/619074.jpg
Bhayaanak,Bollywood,"Horror, Drama",People of Mangalpur die in a bizarre pattern. Inspector Vijay is appointed to reveal the truth behind the mystery.,/static/images/538612.jpg
Maahir,Bollywood,Drama,"Kamini falls in love with Amar and they get married. On her way to meet her in-laws, Kamini is arrested for drug possession. Years later, she seeks revenge for the wrong that was done to her.",/static/images/494255.jpg
Ramayana,Bollywood,"Action, Drama, Fantasy",First part of the epic Ramayana duology.,/static/images/656908.jpg
Nyaydaata,Bollywood,Drama,"Ram, a deputy commissioner, manages to nab a notorious criminal. However, when the criminal manages to get out of prison, he threatens to kill Ram and his family.",/static/images/809619.jpg
Maqsad,Bollywood,Drama,"1984 Bollywood romantic drama.  India's caste system keeps lovers Rajeshwar and Bharati apart, but their struggles take a backseat when a second pair of lovers, Tilak and Rani, become wrapped up in accusations of murder.",/static/images/304175.jpg
Saaya,Bollywood,Horror,"After his wife dies, a doctor keeps seeing her image and refuses to believe she is dead.",/static/images/604767.jpg
Naam,Bollywood,Mystery,A man wakes up with no memory and sets out on a quest to discover who or what he is.,/static/images/1052381.jpg
Aaba,Bollywood,Drama,An orphan girl staying with her grandparents comes across the news of her grandfather being in the advanced stages of lung cancer and would probably survive just a few weeks. With not much to do the grandfather spends rest of his days revisiting his personal possessions and digging his own grave. But then life has its own surprises and does not take the path we plan.,/static/images/459448.jpg
Humlaa,Bollywood,Drama,"Shiva reunites with his brother Bhawani, who was kicked out of their family home some time ago due to criminal activities, and subsequently becomes involved in the smuggling business.",/static/images/307986.jpg
Naata,Bollywood,Drama,A woman describes the relationship between her sister and a postmaster,/static/images/936194.jpg
Solva Saal,Bollywood,"Comedy, Romance, Drama","Classmates Laaj (Waheeda Rehman) and Shyam elope to Bombay with Laaj's necklace, which they hope to pawn to pay for their travels. On the train, a crafty journalist named Pran (Dev Anand) overhears the lovers' plan and follows them in search of a story. When Shyam snatches the necklace and runs off, it's Pran to the rescue. What follows is a song-filled caper of intrigue, adventure and romance.",/static/images/275784.jpg
Aasra,Bollywood,Drama,"Aasra revolves around the life of Chanda (Sardar Akhtar), a sweet girl,  who runs away from her house after her forcefully arrangement of marriage and meets with Chandan (Amar), a kind man in train and pretends to be married and worked in a Hotel. However, she meets with him again to save her life from an evil man and he pretends to be her husband. But they fell in love after an accident and this causes chaos and complications leading to consequences.",/static/images/1518177.jpg
Aazam,Bollywood,"Crime, Drama, Mystery, Thriller","Aazam is a Hindi feature film, set in the underbelly of the Mumbai underworld, the story revolves around the succession battle of mafia don Nawab Khan, who is suffering from blood cancer and has only 10-15 days to live. Huh. Nawab Khan controls the syndicate of 5 partners in governing the city. Kadar - Nawab's son, is his legitimate heir in business, but on the advice of his colleague Javed, Kader plans to eliminate all his father's associates. Kadar's plan fails as other syndicate members have their own agenda for the gang war. DCP Joshi, who is trying to stop this gang war havoc, also gets caught in the conspiracy hatched by Javed. Who is the ""Aazam"" of this battle of defeat and victory?",/static/images/1038487.jpg
Nikaah,Bollywood,"Drama, Romance","After an unsuccessful marriage, Niloufer gets married to Haider, an editor, and eventually falls in love with him. However, soon her marriage bliss ends when her ex-husband Wasim returns in her life.",/static/images/108343.jpg
Raakh,Bollywood,"Action, Crime, Drama, Thriller","After witnessing the public humiliation & abuse of a female friend, a young man vows to avenge her by going after the hoodlums responsible. he is guided by a burnt out, cynical cop, who shows him the ropes as well as the realities of vigilante life.",/static/images/159636.jpg
Anjaam,Bollywood,"Mystery, Horror","Wealthy Dinanath is the new owner of a mansion, which is looked after by Totaram and his wife, Maina. He soon discovers that there is a room kept under lock under key, and no one has ever been inside. He is in for more surprises when the previous owner's wife, Vidya, decides to come and live there, and shares the story of her life - how she loses her husband, Thakur, and how her son, Sunil, became a fugitive from justice - but has little explanation to offer for the ghostly female figure that haunts this mansion.",/static/images/1324968.jpg
Aaghaaz,Bollywood,Drama,"After putting together his life once again from a traumatic experience in his past; Govind Narang accompanied by his sister Rattna comes to reside in Azad Nagar, Bombay. He cannot stand injustice in any shape and form; this brings him into enmity with a gangster Johnny and his younger brother Danny Handsome. Obstructed by the interference into their criminal activities Johnny and his gang brutally beats up Govind leaving him to die and sexually molest Rattna in broad-daylight.",/static/images/365763.jpg
Gunaah,Bollywood,Drama,"Tough cop Prabha (Bipasha Basu) is haunted by the demons of her past. Being an illegitimate daughter of a prostitute, she has had a very bad childhood and there once occurred an incident in her life when she was driven to the point of committing a murder. But today, now that she is a cop, she believes that she can clear her conscience by reforming a criminal. Prabha's life is turned topsy-turvy with the entry of Aditya (Dino Morea), who is a good person at heart but was forced to take the path of crime due to the wrong doing of the system. Prabha goes to Aditya's house to nab him, but gets carried away when she sees him bathing....",/static/images/295811.jpg
Shehzaade,Bollywood,Drama,"Suraj Singh lives with his widowed mother in a small hut in a Bombay city slum. He cannot stand injustice in any form and manner, and this places him in the bad books of Police Inspector Shankar Shrivastav . One day Suraj comes across an older male named Zorawar  he feels sorry for him, and brings him home to live with them. What Suraj does not know that Zorawar is a former jailbird, who has completed his sentence - which was for multiple murders and a rape of a woman named Gauri Shrivastav, who had vowed to kill Zorawar by any means possible. Although Gauri is no longer alive, her vow to avenge the death of her Police Inspector brother, and her rape, are still alive and raging in Shankar. To complicate matters further Suraj finds out that his mother, Padmini, is having an affair with Zorawar. What will Suraj do under these circumstances, will he take steps to oust Zorawar and alert Shankar?",/static/images/505426.jpg
Khatta Meetha,Bollywood,"Comedy, Drama","The story follows Sachin Tichkule, a struggling contractor whose failure in making peace with the corrupt bureaucracy in town as well as strained relation with his ex-girlfriend and his family leads to misadventures that deprive him of his closest relations. However, as he begins to mend his ways, justice comes knocking on his door.",/static/images/44565.jpg
Dabangg 2,Bollywood,"Action, Comedy, Crime",Chulbul Pandey invites a fresh trouble when he kills the brother of a notorious politician and the former swears to wreak havoc in his life.,/static/images/147405.jpg
Yalgaar,Bollywood,"Action, Drama",Childhood friends became enemies when one Mahendra Ashwini Kumar grows up to be Additional Police Commissioner and the other Raj Pratap Singhal becomes a smuggler.,/static/images/232827.jpg
Kaajal,Bollywood,Romance,"Raised by a kind matriarch, Madhavi (Meena Kumari) shares a close bond with her foster brother Rajesh (Dharmendra). When Rajesh marries the insecure Bhanu (Padmini), Madhavi faces false accusations and attempts suicide. Rescued by Moti (Raaj Kumar), she marries him, only to discover his manipulative and exploitative true nature, leaving her trapped in a life of further sorrow.",/static/images/306161.jpg
Aatma,Bollywood,"Mystery, Horror",A single mother fights against the supernatural in order to hold on to her daughter.,/static/images/185279.jpg
Raaz 3,Bollywood,"Horror, Thriller","When an ingénue's sudden popularity threatens to shove her out of the spotlight, a movie star uses black magic in an attempt to derail her career.",/static/images/127498.jpg
Saathi,Bollywood,"Action, Romance, Drama",Suraj and Aman are best friends who would die for each other. Suraj's father is brutally killed by a cop for stealing a bread to feed him. Suraj and Aman then take the life of crime to con people when they grow up they come across Pasha a drug lord and Suraj gets fascinated by his lifestyle. Aman meets Asha a club singer and both fall in love. Suraj and Aman get a contract from Pasha to kill Vicky whose testifying against him But Aman finds he is brother of Asha and decides to give away the life of crime and turn a police informer. While Suraj has become a big name in drug world and wants Pasha's throne. Suraj and Aman then part ways and Suraj blames Asha for everything and wants her dead.,/static/images/604053.jpg
Raakh,Bollywood,Thriller,"Shattered by his wife's murder, a man sets about to get his revenge from the man who raped and killed her.",/static/images/placeholder.jpg
Laila,Bollywood,Romance,"Bitter hatred had always existed between two Rajput families, namely those of Bharat Singh and Prithviraj Singh, resulting in the death of Bharat's nephew. Years later, Prithviraj's son Dharamraj gets married to Sunaina, who gives birth to a baby boy named Deshraj. On Deshraj's 10th birthday, Prithviraj goes to make peace with Bharat and invites him for a birthday party, which Bharat attends, but there is no end to the animosity - which results in the death of Prithviraj, when his chauffeur, Chandu, is bribed and manipulated by Bharat and his men. (Watch for more)",/static/images/192750.jpg
Aag,Bollywood,"Romance, Drama","A man obsessed over two things, the theater and a childhood friend, recounts his life story to his new bride.",/static/images/33706.jpg
Vaada,Bollywood,"Drama, Romance","Rahul and Puja are married and totally devoted to each other. One day they meet with a terrible accident and Rahul loses his eyesight. On a business trip abroad Rahul meets a friend Karan. Impressed by his dynamism and business acumen, Rahul asks him to join his business. They return to India and Puja is stunned to see her husband with her friend Karan. Rahul's love for Puja is blind and unquestioning. Karan's love for Puja is obsessive and uncontrollable. Puja is trapped between a blind husband and a sighted lover.",/static/images/311142.jpg
Race 2,Bollywood,"Action, Thriller",Ranvir Singh encounters the Indian mafia in Turkey as he carries out a mission to avenge his lover's death.,/static/images/44749.jpg
Suhaag,Bollywood,Drama,"Collegian Ajay Sharma was born on 2nd April 1968 and lives in Bombay with his widowed mom, Asha. He is friendly with fellow-collegian, the wealthy Raj Sinha, and both often end up getting beat-up by goons and Madhu (Raj's girlfriend) respectively. After they graduate from college, Raj's maternal uncle asks Ajay to bring his birth certificate so that he could make his passport and find work for him in a department store in Canada. Ajay goes home to look for his birth certificate, but is unable to locate. His mother makes a show of helping him, but instead tears a document and tosses it outside. Ajay puts the document together and finds out that his real name is Ajay Malhotra, his father, Dr. Ravi Malhotra, is still alive, serving a life sentence in prison for killing and stealing a patient's organs. Ajay questions his mother and finds out that his dad was framed by the hospital owner, Rai Bahadur. He and Asha meet Ravi in prison and swear to avenge his humiliation.",/static/images/143881.jpg
Dangerous Night,Bollywood,Horror,A 2003 Indian horror movie.,/static/images/496455.jpg
Papi Gudia,Bollywood,"Thriller, Horror","This movie tells the story of a black magic practitioner (Shakti Kapoor), who before dying transfers his soul into a doll who finally gets into the hands of Karishma Kapoor's brother. This evil doll has plans of his to get into a new body before he permanently gets stuck into the doll's body.  This movie is an unofficial remake of Hollywood movie Child's Play.",/static/images/348052.jpg
Neela Akash,Bollywood,Drama,"Neela is a well educated girl who lives with her younger brother, sister and parents. Her father is addicted to gambling and alcohol and gets fired from his job due to misappropriation of some funds in his office which he commits for his gambling needs. Forced with circumstances, Neela decides to do a job as an air hostess in Indian Airlines. while on job she meets Aakash who works as a pilot in the same airline. After initial misunderstandings both fall in love with each other. Aakash proposes to Neela for marriage but Neela is concerned about her family as she is the only bread earner of her family and is responsible for education and other needs of her younger siblings. There is some more trouble as Neela's drunkard father does not like their relationship as Neela is his only source of money.",/static/images/306125.jpg
Saaya,Bollywood,"Mystery, Horror","Tanya is a rich woman who is married to another rich man named Vinod. But their lives change by Vinod's death. Tanya than starts falling in love with a doctor named Akash. But Akash is in love with a woman named Maya and after some time gets married to her. But their marriage does not last long. Because, first Maya leaves him to travel to another part of India to help people who are sick; and then Akash receives news that she is dead. Tanya comes up to console Akash and hopes that he will now love, accept and marry her. But Akash does not do so, as he is still immersed in Maya's memories, and believes that Maya is still alive and calling out to him. Is Akash going out of his mind?",/static/images/205211.jpg
Salaam Bombay!,Bollywood,"Crime, Drama","Young Krishna is abandoned at the Apollo Circus by his mother, who informs him that he can only return home when he can afford ₹500 for his brother's bicycle that he destroyed. The circus leaves Krishna behind and he travels to Bombay, where he delivers tee and befriends a heroin addict and a young prostitute. Krishna dreams of saving ₹500 to return home, but Bombay street life isn't easy.",/static/images/45129.jpg
Stree 3,Bollywood,"Horror, Comedy",The eighth installment in the Maddock Supernatural Cinematic Universe. Plot TBA.,/static/images/1374067.jpg
Gunaah,Bollywood,"Action, Thriller","A doctor finds an injured man and saves his life. But, the man has lost his memory. He sets out in search of his past and the people responsible for his plight.",/static/images/1095223.jpg
Bhadaas,Bollywood,Drama,A detective with training in criminal psychology aids the local police's hunt for a female serial killer who seduces unfaithful husbands before murdering them.,/static/images/322012.jpg
Jawan Muhabat,Bollywood,Drama,"Dr. Sarin lives with his wife, Sunita, young daughter, Rekha, and his brother, Rajesh. Rajesh is an eligible bachelor, and on the lookout for a life-partner with a view of marriage.",/static/images/542740.jpg
Border,Bollywood,"Action, Drama","Amidst the 1971 Indo-Pak war, a company of 120 Indian soldiers stationed at the border region of Longewala in Rajasthan must defend their post through the night against two thousand Pakistani troops armed with tanks. Based on the true events of the Battle of Longewala.",/static/images/33125.jpg
Hum Hain Bemisaal,Bollywood,Drama,"D' Souza witnessed a physical alteration between his friend Kishan and Tootie Shah. As a result of which his friend is killed and he is arrested and sentenced to jail. D' Souza struggles in jail in order to educate and brings up his friend's son. Years later the boy grows up to be a police officer, Vijay Sinha and is a brave police officer of the corrupt police department, who often gets into confrontation with Tootie Shah and is misunderstood. D' Souza wanted Vijay to take revenge on Tootie Shah but Vijay is under a wrong impression and will only ensure total destruction of his father's killer - none other than D' Souza himself.",/static/images/161455.jpg
